box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
3.00亿,"大鹏,倪妮,李治廷,周冬雨",袁和平,奇门遁甲,"喜剧,动作,奇幻",https://p1.meituan.net/movie/1f3d6ea8ba5d3bf89067bfe645bbc83f1040002.jpg@464w_644h_1e_1c,2017-12-14,7.6
2.66亿,"张震,杨幂,张译,雷佳音",路阳,绣春刀II：修罗战场,"动作,古装,武侠",https://p0.meituan.net/movie/b0fc6fd58f1592dd31298149734ab2d8382151.jpg@464w_644h_1e_1c,2017-07-19,8.5
3.40亿,"菲恩·怀特海德,汤姆·格林-卡尼,杰克·劳登,哈里·斯泰尔斯",克里斯托弗·诺兰,敦刻尔克,"剧情,战争,历史",https://p1.meituan.net/movie/cc36ac6367aa44ee234d568d86cd6e4b209343.jpg@464w_644h_1e_1c,2017-09-01,8.1
2.47亿,"瑞恩·高斯林,艾玛·斯通,约翰·传奇,J·K·西蒙斯",达米恩·查泽雷,爱乐之城,"剧情,爱情,歌舞",https://p1.meituan.net/movie/41016b663bc5e508962af2419e80d439273086.jpg@464w_644h_1e_1c,2017-02-14,8.6
7.41亿,"安迪·瑟金斯,伍迪·哈里森,加布里埃尔·查瓦里亚,史蒂夫·茨恩",马特·里夫斯,猩球崛起3：终极之战,"剧情,动作,科幻",https://p0.meituan.net/movie/055fe653155bb088c5b7070aab16c917247061.jpg@464w_644h_1e_1c,2017-09-15,8.2
11.25亿,"范·迪塞尔,甄子丹,迪皮卡·帕度柯妮,吴亦凡",D·J·卡卢索,极限特工：终极回归,"动作,惊悚,冒险",https://p1.meituan.net/movie/33411a26462dbda7e6b3297fc6bb5d8f179082.jpg@464w_644h_1e_1c,2017-02-10,8.7
6487万,"徐璐,彭昱畅,刘泳希,骆明劼",王冉,闪光少女,"剧情,喜剧,音乐",https://p1.meituan.net/movie/0002a0c15991847aba14169bc19e6e375165298.jpg@464w_644h_1e_1c,2017-07-20,9.2
1.09亿,"艾米·亚当斯,杰瑞米·雷纳,福里斯特·惠特克,迈克尔·斯图巴",丹尼斯·维伦纽瓦,降临,"悬疑,冒险,科幻",https://p0.meituan.net/movie/0807f31f1b8e0058774a23fba89858842258512.jpeg@464w_644h_1e_1c,2017-01-20,7.8
2260万,"文淇,周美君,史可,耿乐",文晏,嘉年华,"剧情,悬疑",https://p0.meituan.net/movie/7ab4592f82ef346fa0bb78f9287ae338242063.jpg@464w_644h_1e_1c,2017-11-24,8.0
1.01亿,"卢正雨,郭采洁,范伟,蔡国庆",卢正雨,绝世高手,"喜剧,动作",https://p0.meituan.net/movie/66dbe34baa314ca79c7e6a65e89eea551088428.jpg@464w_644h_1e_1c,2017-07-07,7.5
818万,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯,凯尔·钱德勒",肯尼斯·罗纳根,海边的曼彻斯特,"剧情,家庭",https://p0.meituan.net/movie/fa733aa37805f9abced28085c0c21293168838.jpg@464w_644h_1e_1c,2017-08-25,8.8
5392万,"松冈祯丞,户松遥,伊藤加奈惠,竹达彩奈",伊藤智彦,刀剑神域：序列之争,"动画,动作,冒险",https://p0.meituan.net/movie/e91e3f3422dd2aa5e0f2d036da6d5bda329269.jpg@464w_644h_1e_1c,2017-09-15,9.2
2.92亿,"冯绍峰,刘亦菲,李光洁,郭京飞",肖洋,二代妖精之今生有幸,"喜剧,爱情,奇幻",https://p1.meituan.net/movie/527f722f9bfc9372a968c79c725d7439266481.jpg@464w_644h_1e_1c,2017-12-29,8.5
3732万,"加里·奥德曼,克里斯汀·斯科特·托马斯,莉莉·詹姆斯,本·门德尔森",乔·赖特,至暗时刻,"剧情,历史,传记",https://p1.meituan.net/movie/fdfb062822d54c058d96800a18babc04146010.jpg@464w_644h_1e_1c,2017-12-01,8.8
3.04亿,"李易峰,廖凡,万茜,李纯",谢东燊,心理罪,"动作,悬疑,犯罪",https://p1.meituan.net/movie/7c1fe3271228f03eb080dd8b5ddfa828339330.jpg@464w_644h_1e_1c,2017-08-11,8.2
2.06亿,"本·威士肖,杜江,休·格兰特,莎莉·霍金斯",保罗·金,帕丁顿熊2,"喜剧,动画,冒险",https://p1.meituan.net/movie/1ae0b6ef3773e5fa784b882d4f1ba0516626165.jpg@464w_644h_1e_1c,2017-12-08,9.1
3.05亿,"成龙,罗志祥,欧阳娜娜,夏侯云姗",张立嘉,机器之血,"喜剧,动作,科幻",https://p1.meituan.net/movie/1efd488d573bf2ec7d296940ad4911d7987434.jpg@464w_644h_1e_1c,2017-12-22,8.6
8143万,"小栗旬,菅田将晖,桥本环奈,长泽雅美",福田雄一,银魂 真人版,"剧情,喜剧,科幻",https://p1.meituan.net/movie/9e33c04e41fdf125bc96bd28c6aa4652340671.jpg@464w_644h_1e_1c,2017-09-01,7.9
2.11亿,"金城武,周冬雨,孙艺洲,奚梦瑶",许宏宇,喜欢·你,"喜剧,爱情",https://p1.meituan.net/movie/c841e8ef82eeb51513c9839923fc5e1b132405.jpg@464w_644h_1e_1c,2017-04-27,8.9
2.93亿,"黄渤,徐静蕾,段奕宏,杨子姗",陈正道,记忆大师,"剧情,悬疑,犯罪",https://p1.meituan.net/movie/e92d824ca3d9e2dcb20622f72162d73d798396.jpg@464w_644h_1e_1c,2017-04-28,8.6
1361万,"胡军,余男,凤小岳,秦昊",胡雪桦,上海王,剧情,https://p1.meituan.net/movie/407c65950e17e652d8b3633c8da9092f3457645.jpeg@464w_644h_1e_1c,2017-02-17,7.7
6535万,"刘佩琦,曹云金,李子雄,范志博",高峰,龙之战,"动作,战争,历史",https://p0.meituan.net/movie/2bad4d79ed1d2ca6768ec6d6bdd97c5e588735.jpg@464w_644h_1e_1c,2017-08-04,8.6
